reaction,temp,output,origin_output
N#Cc1ncccc1Br*Cc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cc1ccc(-c2cccnc2C#N)cc1,,-1.0311655782939018,34.0
Cn1c2c(c3cccc(Br)c31)C(=O)NCC2*OB(O)c1ccccc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cn1c2c(c3cccc(-c4ccccc4)c31)C(=O)NCC2,,1.2398270461279932,90.9
O=[N+]([O-])c1ccc(-n2nnnc2-c2ccccc2Br)cc1*CCc1cc(OCc2ccc(B(O)O)cc2)c2ccccc2n1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCc1cc(OCc2ccc(-c3ccccc3-c3nnnn3-c3ccc([N+](=O)[O-])cc3)cc2)c2ccccc2n1,,0.20610632604843107,65.0
CCCCc1nc2cc(Br)cc(C(=O)OC)c2n1Cc1ccccc1Cl*OB(O)c1ccccc1*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***CCCCc1nc2cc(-c3ccccc3)cc(C(=O)OC)c2n1Cc1ccccc1Cl,,0.3258423167912375,68.0
O=[N+]([O-])c1ccc(-n2nnnc2-c2ccccc2Br)cc1*Cc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cc1ccc(-c2ccccc2-c2nnnn2-c2ccc([N+](=O)[O-])cc2)cc1,,1.3056818410365365,92.55
Brc1cncc(Br)c1*OB(O)c1ccccc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Brc1cncc(-c2ccccc2)c1,,-1.2706375597795148,28.0
Fc1cc(Br)cnc1Br*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(Br)c(F)c2)cc1,,0.4056663106197751,70.0
CCCCCCCCOc1ccc(-c2ncc(Br)cc2F)cc1*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(-c3ccc(OCCCCCCCC)cc3)c(F)c2)cc1,,0.4056663106197751,70.0
Brc1cnc(Br)nc1*OB(O)c1cccc(OCc2ccccc2)c1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Brc1ncc(-c2cccc(OCc3ccccc3)c2)cn1,,0.4176399096940556,70.3
Brc1cnc(-c2cccc(OCc3ccccc3)c2)nc1*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(-c3cccc(OCc4ccccc4)c3)nc2)cc1,,1.5072374254535938,97.6
