reaction,temp,output,origin_output
N#Cc1ncccc1Br*Cc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cc1ccc(-c2cccnc2C#N)cc1,,-1.0063201383564544,34.0
O=[N+]([O-])c1ccc(-n2nnnc2-c2ccccc2Br)cc1*CCc1cc(OCc2ccc(B(O)O)cc2)c2ccccc2n1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCc1cc(OCc2ccc(-c3ccccc3-c3nnnn3-c3ccc([N+](=O)[O-])cc3)cc2)c2ccccc2n1,,0.22958745285191093,65.0
O=[N+]([O-])c1ccc(-n2nnnc2-c2ccccc2Br)cc1*Cc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cc1ccc(-c2ccccc2-c2nnnn2-c2ccc([N+](=O)[O-])cc2)cc1,,1.327950489554829,92.55
Fc1cc(Br)cnc1Br*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(Br)c(F)c2)cc1,,0.4289273869177763,70.0
CCCCCCCCOc1ccc(-c2ncc(Br)cc2F)cc1*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(-c3ccc(OCCCCCCCC)cc3)c(F)c2)cc1,,0.4289273869177763,70.0
Brc1cnc(Br)nc1*OB(O)c1cccc(OCc2ccccc2)c1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Brc1ncc(-c2cccc(OCc3ccccc3)c2)cn1,,0.44088778296172815,70.3
Brc1cnc(-c2cccc(OCc3ccccc3)c2)nc1*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(-c3cccc(OCc4ccccc4)c3)nc2)cc1,,1.529283822961353,97.6
Cc1nc(CO)c2c(n1)N(Cc1ccc(Br)cc1)C(=O)CC2*CC(C)(C)n1nnnc1-c1ccccc1B(O)O*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****Cc1nc(CO)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnnn3C(C)(C)C)cc1)C(=O)CC2,,1.2342607205438727,90.2
CC(=O)c1c(C)nc(C)nc1NCc1ccc(Br)cc1*CC(C)(C)n1nnnc1-c1ccccc1B(O)O*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***CC(=O)c1c(C)nc(C)nc1NCc1ccc(-c2ccccc2-c2nnnn2C(C)(C)C)cc1,,0.6302607203243002,75.05
Brc1cnc(Br)nc1*OB(O)c1ccc(OCc2ccccc2)cc1*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***Brc1ncc(-c2ccc(OCc3ccccc3)cc2)cn1,,1.5053630308734494,97.0
CN1C(=O)CC[C@]2(C)c3ccc(Br)cc3CC[C@@H]12*OB(O)c1cc2ccccc2s1*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***CN1C(=O)CC[C@]2(C)c3ccc(-c4cc5ccccc5s4)cc3CC[C@@H]12,,0.8654818425220216,80.95
O=Cc1ccc(Br)s1*Cc1cccc(B(O)O)c1*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***Cc1cccc(-c2ccc(C=O)s2)c1,,1.2262871231812378,90.0
Clc1cc(Br)cnc1Br*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cc(Br)cnc2Br)cc1,,0.3332442185661607,67.6
CCCCCCCCOc1ncc(Br)cc1Cl*CCCCCCCCOc1ccc(B(O)O)cc1*[Pd]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***CCCCCCCCOc1ccc(-c2cnc(OCCCCCCCC)c(Cl)c2)cc1,,0.2216138554892762,64.8
CCCCCCCCOc1ccc(-c2ncc(Br)cc2Cl)cc1*CCCCCCCCOc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2cnc(-c3ccc(OCCCCCCCC)cc3)c(Cl)c2)cc1,,-0.41228713484017565,48.9
CN1CCC[C@H]1COc1cncc(Br)c1*O=[N+]([O-])c1cccc(B(O)O)c1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CN1CCC[C@H]1COc1cncc(-c2cccc([N+](=O)[O-])c2)c1,,0.024267320764069646,59.85
CN1CCC[C@H]1COc1cncc(Br)c1*OB(O)c1cccc2ccccc12*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CN1CCC[C@H]1COc1cncc(-c2cccc3ccccc23)c1,,0.10200989504975698,61.8
CN1CCC[C@H]1COc1cncc(Br)c1*COc1ccc(B(O)O)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****COc1ccc(-c2cncc(OC[C@@H]3CCCN3C)c2)cc1,,-0.0435082568183247,58.15
CCCCCCCCOc1ccc(Br)cc1*CCCCCCCCOc1ccc(B(O)O)c(F)n1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2ccc(OCCCCCCCC)nc2F)cc1,,-0.7073102372576564,41.5
CCCCCCCCOc1ccc(Br)cc1*CCCCCCCCOc1ccc(-c2ccc(B(O)O)c(F)n2)cc1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2ccc(-c3ccc(OCCCCCCCC)cc3)c(F)n2)cc1,,-0.3923531414335891,49.4
CCCCCCCCOc1ccc(-c2ccc(Br)cc2)cc1*CCCCCCCCOc1ccc(B(O)O)c(F)n1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc(-c2ccc(-c3ccc(OCCCCCCCC)nc3F)cc2)cc1,,-1.8355742640704547,13.2
Fc1cccc(Br)n1*CCCCCCCCOc1ccc2cc(B(O)O)ccc2c1*c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1****CCCCCCCCOc1ccc2cc(-c3cccc(F)n3)ccc2c1,,0.37709900406065144,68.7
Brc1cccc(Br)n1*Cc1ccc(NC(=O)C(C)(C)C)c(B(O)O)c1*[Cl-].[Cl-].[Pd+2]*c1ccc(P(c2ccccc2)c2ccccc2)cc1***Cc1ccc(NC(=O)C(C)(C)C)c(-c2cccc(Br)n2)c1,,0.6482013143902282,75.5
Brc1cn2ccccc2n1*COc1cc(B(O)O)c(F)cc1Cl*Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1****COc1cc(-c2cn3ccccc3n2)c(F)cc1Cl,,0.0980230963684399,61.7
